"Path","Tracked","WorktreeExists","SizeBytes","TopLevel","Extension","Classification","WorkflowRelation","RuntimeProtection","ReferenceAuditStatus","GitHistoryStatus","Notes"
".agents/skills/firebase-firestore/SKILL.md","True","True","3496",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-hosting-basics/references/configuration.md","True","True","1819",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-hosting-basics/references/deploying.md","True","True","1193",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-hosting-basics/SKILL.md","True","True","2126",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-remote-config-basics/references/android_setup.md","True","True","3515",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-remote-config-basics/references/ios_setup.md","True","True","2756",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-remote-config-basics/SKILL.md","True","True","4763",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/firebase-security-rules-auditor/SKILL.md","True","True","3528",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/xcode-project-setup/scripts/xcode_spm_setup/.gitignore","True","True","153",".agents",".gitignore","OPERATIONAL_OR_PIPELINE","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/xcode-project-setup/scripts/xcode_spm_setup/Package.swift","True","True","428",".agents",".swift","OPERATIONAL_OR_PIPELINE","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/xcode-project-setup/scripts/xcode_spm_setup/Sources/main.swift","True","True","9135",".agents",".swift","OPERATIONAL_OR_PIPELINE","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".agents/skills/xcode-project-setup/SKILL.md","True","True","5901",".agents",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".cursor/settings.json","True","True","69",".cursor",".json","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".dockerignore","True","True","261",".dockerignore",".dockerignore","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".firebase/hosting.cHVibGlj.cache","True","True","1274",".firebase",".cache","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".firebaserc","True","True","59",".firebaserc",".firebaserc","OPERATIONAL_OR_PIPELINE","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".g002-generated-narrow.patch","True","True","8032",".g002-generated-narrow.patch",".patch","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g002-narrow.patch","True","True","6421",".g002-narrow.patch",".patch","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g002narrow/new/lib/features/onboarding/screens/photo_upload_screen.dart","True","True","61881",".g002narrow",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g002narrow/new/lib/features/onboarding/widgets/avatar_generation_messages.dart","True","True","1971",".g002narrow",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g002narrow/new/lib/services/user_profile_reader.dart","True","True","115",".g002narrow",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g002narrow/new/lib/services/user_service.dart","True","True","10794",".g002narrow",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g002narrow/new/test/photo_upload_screen_avatar_flow_test.dart","True","True","33157",".g002narrow",".dart","TEST","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".g002narrow/old/lib/features/onboarding/screens/photo_upload_screen.dart","True","True","61770",".g002narrow",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g002narrow/old/lib/features/onboarding/widgets/avatar_generation_messages.dart","True","True","1747",".g002narrow",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g002narrow/old/lib/services/user_service.dart","True","True","10729",".g002narrow",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
